Nome	Tipo	Categoria	Requisito	Mana	Dificuldade	Classe	Raça	Descrição
Coração da Montanha	Suporte	Característica	-	-1	-1	-	Anão	Sua constituição foi forjada nos subterrâneos agrestes e impiedosos, onde apenas os mais resistentes conseguem sobreviver. Você é imune a todos os venenos naturais e mágicos e rola +1d6 em testes para resistir à fadiga, doenças e quaisquer outros efeitos físicos. Além disso, sua Carga é calculada como se tivesse Força +2.
Cabeça Dura	Suporte	Característica	-	-1	-1	-	Anão	Você é etremamente teimoso e é muito difícil dissuadi-lo de uma opinião, intimidá-lo, controlar sua mente ou manipulá-lo de qualuqer forma. Você tem Vontade +1 e Determinação +2.
Coração da Montanha 2	Suporte	Característica	-	-1	-1	-	Anão	Você é ainda mais vigoroso e resistente que a maioria dos Anões. Você tem +5 Pontos de Vida e é imune à todas as doenças de origem natural ou mágica e rola +1d6 em teste para resistir a quaisquer efeitos de fadiga ou outros efeitos físicos. Esse bônus se acumula com o bônus de Vigor da Montanha.
Duro como Pedra	Suporte	Característica	-	-1	-1	-	Anão	Sua pele é mais grossa e resistente que a da maioria dos outros Anões. Você tem +10 Pontos de Vida e Defesa +1 (esse bônus de Defesa conta como Armadura). Especial: Você só pode selecionar essa Habilidade durante a criação do personagem.
Estabilidade	Suporte	Característica	-	-1	-1	Guerreiro	Anão	Você gosta de ter os dois pés solidamente plantados no chão - e faz isso muito bem! Você sempre rola +1d6 em todos os seus testes de evitar quedas e manter o equilíbrio.
Forjado à Fogo	Suporte	Característica	-	-1	-1	-	Anão	Você passou muito tempo nas forjas ou nasceu abençoado por Hou com uma resistência inata ao fogo e seus malefícios. Você possui Resistência ao Fogo e sua visão e respiração não são afetadas por fumaça.
Nascido nas Montanhas	Suporte	-	-	-1	-1	-	Anão	Você nasceu ou passou grande parte da sua vida em ambientes montanhosos. Você recebe +2 em seus testes ligados a locais rochosos e montanhosos - como escalar rocha (nua ou trabalhada), percepção e sobrevivência em áreas montanhosas, identificar animais dessas regiões, avaliar formações rochosas e pedras brutas ou trabalhadas (incluindo construções de pedra e pedras preciosas) e para trabalhar em pedra - seja artesanato, alvenaria ou joalheria.
Raça Subterrânea	Suporte	Característica	-	-1	-1	-	Anão	Você está acostumado aos ambientes subterrâneos e se sente confortável neles. Quando estiver dentro de cavernas ou em ambientes subterrâneos, você ganha +1 em todos os testes. Você também consegue enxergar na completa escuridão, mas nessas condições não consegue distinguir cores.
Benção de Lathellanis	Suporte	Característica	-	-1	-1	-	Elfo	A proteção de Lathellanis é evidente em você, assim como uma pálida sombra da astúcia da divindade da natureza. Você é imune à todas as doenças de origem natural ou mágica, Dreno de Energia e efeitos que causem Envelhecimento (de qualquer tipo ou origem). Além disso, Você rola +1d6 em todos os seus testes de Inteligência para perceber e rastrear alvos.
Arborícola	Suporte	Característica	-	-1	-1	-	Elfo	Você passou muitos anos explorando as copas das árvores, e se sente à vontade entre os galhos. Você é automaticamente bem-sucedido em testes para escalar árvores e seu Deslocamento não é reduzido quando estiver se movimentando pelas copas das árvores. Você tambem recebe um bônus de +2 em todos os seus testes para se mover em silencio, se esconder e se movimentar enquanto estiver em cima de uma árvore.
Dom da Magia	Suporte	Característica	-	-1	-1	-	Elfo	Você é capaz de canalizar magias muito mais facilmente. As dificuldades de todas as Magia são diminuídas em 1 para você. Você também tem +5 Pontos de Mana.
Herança Feérica	Suporte	Característica	-	-1	-1	-	Elfo	Você possui algumas características comuns aos seus ancestrais feéricos. Você é imune a qualquer efeito mental e efeito de medo além de perceber automaticamente ilusões. Você também ganha +5 Pontos de Mana.
Intelecto Élfico	Suporte	Característica	-	-1	-1	-	Elfo	Seu raciocínio é veloz e objetivo. Você tem Inteligência +1 e +5 Pontos de Mana.
Invisibilidade Natural	Suporte	Característica	Herança Feérica	10	-1	-	Elfo	Você possui uma das habilidades mais características das fadas. Você é capaz de se mesclar à vegetação à sua volta, ficano invisível por até uma hora. É preciso estar em uma área com vegetação densa - um bosque, um jardim de topiarias ou uma estufa, por exemplo - e o efeito é cancelado se você deixar a área de vegetação, sofrer algum dano, atacar ou lançar uma magia.
Luzes das Fadas	Suporte	Característica	Herança Feérica	15	-1	-	Elfo	Você possui um habilidade comum às fadas. Você pode criar até três pequenos globos de luz que ficam dançando pelo ar. Você pode comandá-los, mas eles não podem se afastar mais que três metros de você. Eles duram uma hora, mas você pode dispersá-los quando desejar. Os globos produzem iluminação igual à de uma tocha, e você pode realizar um ataque à distância para atingir os olhos de um alvo com um dos globos de luz (que se extingue no processo), deixando-o Distraído por 1 turno (ver Condições, pág. 169).
Raça Florestal	Suporte	Característica	-	-1	-1	-	Elfo	Você se sente confortável e renovado quando está sob a proteção da vegetação. Quando estiver dentro de uma floresta, bosque ou selva você recebe +2 em todos os seus testes.
Adaptabilidade	Suporte	Característica	-	-1	-1	-	Humano	Você se adaptou ao ambiente em que cresceu ou à atividade que escolheu - ou precisou - desempenhar. Você tem +1 em qualquer um dos seus Atributos a sua escolha.
Assuntos Diversos	Ação	Característica	-	30	-1	-	Humano	Você estudou e praticou um pouco de tudo ao longo da sua vida. Você pode rolar +1d6 em um teste qualquer à sua escolha.
Audácia	Suporte	Característica	-	-1	-1	-	Humano	Você enfrenta ameaças e siuações de perigo com entusiasmo. Sempre que estiver frente à uma situação de risco eminente - saltar entre duas bordas de um precipício, equilibrar-se em uma corda sobre um rio de lava, entrar em um combate ou qualquer situação em que você possa potencialmente perder a vida (ou pelo menos se ferir seriamente), você recupera imediatamente 10 Pontos de Vida ou 10 Pontos de Mana, à sua escolha. Essa habilidade só pode ser usada uma vez para cada situação de risco, e apenas quando o risco se apresentar - não depois da sua primeira ação em um combate ou depois de cair, por exemplo.
Barganha	Suporte	Característica	-	-1	-1	-	Humano, Metadílio	Você é um praticante das artes da negociação, oratória, retórica e sofisma. Você pode rolar +1d6 em todos os seus testes que envolvam comércio e outras negociações.
Diversidade	Suporte	Característica	-	-1	-1	-	Humano	Você focou seus esforços e interesse em uma ampla gama de atividades. Escolha um Atributo diferente do que escolheu para Adaptabilidade. Você tem +1 nesse Atributo.
